,sa1,sa2,closing_date,list_price,sold_price,prop_type,year_built,sq_ft,bedrooms,bathrooms,sub_div,sub_area,taxes,school_district,garage_spaces,parking_spaces,basement,hoa_fees,financial_terms
117,1542 Sheridan Boulevard,"Denver, CO 80214","Oct 10, 2019","$6,000,000","$5,275,000",Multifamily,2019,13012,,,Sloan's Lake,Sloan's Lake,"$3,029",Denver 1,,,None,,Conventional
118,350 Timber Trail Road,"Breckenridge, CO 80424","Dec 10, 2020","$5,699,000","$5,260,000",Single Family Residential,2005,6565,6,6,Timber Trail,Timber Trail,"$30,714",Summit RE-1,2,2,"Daylight, Finished, Walk-Out Access",$325,Conventional
119,6776 County Road 74,"Windsor, CO 80550","Jan 29, 2021","$5,208,000","$5,208,000",Single Family Residential,1961,1290,3,1,,,"$5,173",Windsor RE-4,,,Partial,,
120,2063 Curtis Street,"Denver, CO 80205","Dec 30, 2020","$5,400,000","$5,200,000",Multifamily,2013,13476,,,,,"$19,969",,12,12,,,Conventional
121,1901 Wazee Street Unit 1120,"Denver, CO 80202","Mar 22, 2021","$5,147,600","$5,147,600",Condo,2020,6184,,,Lodo,Lodo,,Denver 1,4,4,,"$3,401",Conventional
122,34244 County Road 25,"Greeley, CO 80631","Feb 26, 2020","$2,300,000","$5,100,000",Single Family Residential,1889,1102,3,1,,,"$5,208",Windsor RE-4,6,6,,,
123,7321 Flagstaff Road,"Boulder, CO 80302","Jan 15, 2019","$5,995,000","$5,100,000",Single Family Residential,1995,10188,4,6,Walker Ranch Area,Walker Ranch Area,"$12,301",Boulder Valley RE 2,4,4,None,,
124,7321 Flagstaff Road,"Boulder, CO 80302","Jan 15, 2019","$5,995,000","$5,100,000",Single Family Residential,1965,10188,4,6,Walker Ranch Area,Walker Ranch Area,"$12,307",Boulder Valley RE 2,4,4,None,,Conventional
125,3300 E Belleview Avenue,"Greenwood Village, CO 80121","Sep 18, 2018","$5,385,000","$5,100,000",Single Family Residential,1963,8051,8,7,Historic Rural Greenwood Village,Historic Rural Greenwood Village,"$8,673",Cherry Creek 5,2,2,"Finished, Partial",,Cash
126,4520 S Downing Circle,"Cherry Hills Village, CO 80113","Apr 14, 2021","$4,950,000","$5,000,000",Single Family Residential,2012,10686,5,7,Old Cherry Hills,Old Cherry Hills,"$19,435",Cherry Creek 5,3,3,"Full, Finished",,Cash
127,1701 North Lake Avenue,"Estes Park, CO 80517","Jul 31, 2018","$5,600,000","$5,000,000",Multifamily,1975,88376,,,North Lake Subdivison,North Lake Subdivison,"$74,527",Estes Park R-3,,,None,,USDA
128,5340 Newport Street,"Greenwood Village, CO 80111","Oct 30, 2018","$5,700,000","$5,000,000",Single Family Residential,2006,16249,7,11,Greenwood Village,Greenwood Village,"$28,170",Cherry Creek 5,6,6,"Exterior Entry, Full, Finished, Walk-Out Access",,Private
129,219 High View Drive,"Boulder, CO 80304","Oct 09, 2020","$4,995,000","$4,995,000",Single Family Residential,2020,4772,5,6,Pine Brook Hills 6,Pine Brook Hills 6,"$5,394",Boulder Valley RE 2,2,2,"Crawl Space, None",$95,"Cash, Conventional"
130,34815 Panorama Drive Unit Lot #18,"Steamboat Springs, CO 80487","Sep 16, 2020","$5,175,000","$4,995,000",Single Family Residential,2018,5652,5,7,Alpine Mountain Ranch Lpse,Alpine Mountain Ranch Lpse,"$31,913",Steamboat Springs RE-2,3,3,,"$6,420",Cash
131,219 High View Drive,"Boulder, CO 80304","Oct 09, 2020","$4,995,000","$4,995,000",Single Family Residential,2020,4772,5,6,Pine Brook Hills,Pine Brook Hills,"$5,394",Boulder Valley RE 2,2,2,Crawl Space,$95,Cash
132,17850 County Road 16,"Oak Creek, CO 80467","Nov 06, 2020","$4,995,000","$4,995,000",Single Family Residential,2000,6776,5,7,No Defined Development,No Defined Development,"$9,213",South Routt RE-3,2,2,,,Cash
133,73 Mayfly Drive,"Silverthorne, CO 80498","Dec 21, 2020","$4,995,000","$4,975,000",Single Family Residential,2020,7356,6,7,Silverthorne,Silverthorne,"$1,091",Summit RE-1,3,3,"Exterior Entry, Full, Finished, Walk-Out Access",$420,Cash
134,809 Pine Street,"Boulder, CO 80302","Jan 29, 2021","$4,950,000","$4,950,000",Single Family Residential,1876,4825,6,4,Mapleton,Mapleton,"$17,013",Boulder Valley RE 2,2,2,"Partial, Unfinished",,
135,9 Sunset Drive,"Cherry Hills Village, CO 80113","Aug 14, 2020","$4,995,000","$4,925,000",Single Family Residential,1932,6483,4,4,Cherry Hills Village,Cherry Hills Village,"$28,954",Cherry Creek 5,10,10,Partial,"$1,295",Conventional
136,4435 County Rd 104,"Guffey, CO 80820","Nov 16, 2020","$5,150,000","$4,900,000",Single Family Residential,2007,4646,3,3,,,"$4,419",Park County RE-2,2,2,Finished,,Cash
137,14 Village Road,"Cherry Hills Village, CO 80113","Jul 02, 2020","$4,950,000","$4,900,000",Single Family Residential,2008,17032,6,10,Cherry Hills,Cherry Hills,"$27,091",Cherry Creek 5,6,6,"Daylight, Full, Finished",,Cash
138,910 Gaylord Street,"Denver, CO 80206","Jan 29, 2021","$4,997,000","$4,900,000",Single Family Residential,1923,9937,6,6,Country Club,Country Club,"$27,234",Denver 1,2,2,"Exterior Entry, Finished, Interior Entry, Partial",,Conventional
139,701 S Jackson Street,"Denver, CO 80209","Mar 30, 2021","$4,895,000","$4,895,000",Single Family Residential,2018,9863,7,10,Belcaro,Belcaro,"$17,665",Denver 1,3,3,Full,$150,Cash
140,950 S Steele Street,"Denver, CO 80209","Jul 02, 2019","$4,875,000","$4,875,000",Single Family Residential,2007,7391,5,5,Belcaro,Belcaro,"$20,374",Denver 1,4,4,"Full, Finished, Sump Pump",$150,Conventional
141,6 Lynn Road,"Cherry Hills Village, CO 80113","Nov 30, 2018","$4,995,000","$4,855,535",Single Family Residential,2015,10835,6,9,Cherry Hills Village,Cherry Hills Village,"$24,838",Cherry Creek 5,3,3,"Full, Finished, Interior Entry",,Conventional
142,2955 Vallejo Street,"Denver, CO 80211","Mar 23, 2021","$4,900,000","$4,850,000",Multifamily,1973,11475,,,,,"$16,272",,,,,,Conventional
143,198 Timber Trail Road,"Breckenridge, CO 80424","Feb 10, 2021","$4,995,000","$4,850,000",Single Family Residential,2014,6113,6,7,Timber Trail,Timber Trail,"$25,147",Summit RE-1,3,3,Walk-Out Access,,Cash
144,1676 Sunset Boulevard,"Boulder, CO 80304","Oct 19, 2018","$4,995,000","$4,800,000",Single Family Residential,2007,6790,4,6,Sunset Hill,Sunset Hill,"$24,203",Boulder Valley RE 2,2,2,"Full, Walk-Out Access",,"Cash, Conventional"
145,1701 E Tufts Avenue,"Cherry Hills Village, CO 80113","Jun 23, 2020","$4,500,000","$4,800,000",Single Family Residential,2005,10666,6,9,Cherry Hills Village,Cherry Hills Village,"$25,379",Cherry Creek 5,5,5,"Finished, Sump Pump",,Cash
146,34 Polo Club Circle,"Denver, CO 80209","Jun 25, 2019","$4,995,000","$4,775,000",Single Family Residential,1962,7904,5,7,Polo Club,Polo Club,"$19,575",Denver 1,3,3,"Finished, Partial",$725,Cash
147,3035 Temple Knolls,"Steamboat Springs, CO 80487","Jun 14, 2019","$5,450,000","$4,770,000",Single Family Residential,2018,6476,5,7,Rendevous Trails Subdivision,Rendevous Trails Subdivision,"$11,434",Steamboat Springs RE-2,2,2,"Exterior Entry, Full, Finished, Walk-Out Access",,Cash
148,1131 White Hawk Ranch Drive,"Boulder, CO 80303","Apr 30, 2019","$5,499,000","$4,761,819",Single Family Residential,1994,10074,5,8,White Hawk Ranch,White Hawk Ranch,"$29,949",Boulder Valley RE 2,6,6,,$165,"Cash, Conventional"
149,1131 White Hawk Ranch Drive,"Boulder, CO 80303","Apr 30, 2019","$5,499,000","$4,761,819",Single Family Residential,1994,10074,5,8,Boulder,Boulder,"$29,949",Boulder Valley RE 2,6,6,"Full, Finished, Heated",$165,Cash
150,35 Bellevue Drive,"Boulder, CO 80302","May 07, 2018","$4,750,000","$4,750,000",Single Family Residential,1994,6175,3,4,Bellevue Hills,Bellevue Hills,"$26,426",Boulder Valley RE 2,3,3,None,,"Cash, Conventional"
151,6 Churchill Drive,"Cherry Hills Village, CO 80113","Jan 05, 2021","$4,895,000","$4,750,000",Single Family Residential,1997,10046,5,8,Cherry Hills Village,Cherry Hills Village,"$22,056",Cherry Creek 5,3,3,"Full, Finished, Heated",,Conventional
152,39745 Deerfoot Avenue,"Steamboat Springs, CO 80487","Oct 07, 2020","$4,995,000","$4,730,000",Single Family Residential,1972,7936,4,7,,,"$12,524",Steamboat Springs RE-2,1,1,,,Cash
153,443 Wild Irishman Road,"Dillon, CO 80435","Oct 23, 2020","$4,850,000","$4,722,000",Single Family Residential,1998,18046,12,18,Wild Irishman Sub,Wild Irishman Sub,"$10,257",Summit RE-1,4,4,Walk-Out Access,,Cash
154,145 Deer Clover Lane,"Steamboat Springs, CO 80487","Apr 05, 2021","$4,700,000","$4,700,000",Single Family Residential,2016,5733,5,6,Alpine Acres,Alpine Acres,"$12,914",Steamboat Springs RE-2,3,3,,,Cash
155,38100 County Road 179,"Steamboat Springs, CO 80487","Sep 10, 2020","$4,995,000","$4,700,000",Single Family Residential,1980,4856,3,5,No Defined Development,No Defined Development,"$8,657",Hayden RE-1,2,2,,,Cash
156,2890 Bucks Path,"Steamboat Springs, CO 80487","Dec 17, 2019","$4,950,000","$4,700,000",Single Family Residential,2005,7401,6,7,Elkins Meadows @ Little Fish Creek,Elkins Meadows @ Little Fish Creek,"$10,474",Steamboat Springs RE-2,3,3,"Exterior Entry, Full, Finished, Interior Entry, Walk-Out Access, Heated","$2,476",Seller Financing
157,7 Churchill Drive,"Cherry Hills Village, CO 80113","Sep 02, 2020","$4,795,000","$4,695,000",Single Family Residential,1977,8081,5,7,Cherry Hills Village,Cherry Hills Village,"$24,218",Cherry Creek 5,3,3,Finished,,Conventional
158,165 Green Rock Drive,"Boulder, CO 80302","Aug 15, 2018","$5,750,000","$4,675,000",Single Family Residential,1969,5104,4,5,Knollwood,Knollwood,"$20,473",Boulder Valley RE 2,4,4,None,,"Cash, Conventional"
159,165 Green Rock Drive,"Boulder, CO 80302","Aug 15, 2018","$5,750,000","$4,675,000",Single Family Residential,1969,5104,5,5,Knollwood,Knollwood,"$20,473",Boulder Valley RE 2,4,4,None,,Cash
160,355 N Gilpin Street,"Denver, CO 80218","Feb 14, 2020","$4,900,000","$4,625,000",Single Family Residential,1933,7685,5,7,Denver Country Club,Denver Country Club,"$18,737",Denver 1,3,3,Partial,,Cash
161,2330 Balsam Drive,"Boulder, CO 80304","Nov 21, 2019","$4,600,000","$4,600,000",Single Family Residential,2019,4471,5,6,Panorama Heights,Panorama Heights,"$5,852",Boulder Valley RE 2,2,2,Walk-Out Access,,"Cash, Conventional"
162,11780 Gold Hill Road,"Boulder, CO 80302","Feb 28, 2019","$4,500,000","$4,600,000",Single Family Residential,2007,10558,5,7,Whisper Mountain Ranch,Whisper Mountain Ranch,"$16,000",Boulder Valley RE 2,3,3,"Full, Bath/Stubbed",,"Cash, Conventional"
163,4301 S Lafayette Street,"Cherry Hills Village, CO 80113","Oct 14, 2020","$4,999,995","$4,600,000",Single Family Residential,2002,11922,6,11,Cherry Hills Village,Cherry Hills Village,"$34,869",Cherry Creek 5,4,4,"Crawl Space, Full, Finished, Interior Entry, Sump Pump",,Conventional
164,33 Iron Mask Road,"Breckenridge, CO 80424","Apr 16, 2020","$6,399,000","$4,600,000",Single Family Residential,2006,11000,5,8,Shock Hill,Shock Hill,"$21,091",Summit RE-1,3,3,Full,,Cash
165,33250 Tatanka Court,"Steamboat Springs, CO 80487","Jul 02, 2020","$4,700,000","$4,600,000",Single Family Residential,2002,9551,5,9,Petrie Minor Development Subdivision,Petrie Minor Development Subdivision,"$11,245",Steamboat Springs RE-2,2,2,"Daylight, Finished, Interior Entry, Partial, Walk-Out Access",,Conventional
166,10989 Skydance Drive,"Highlands Ranch, CO 80126","Jan 28, 2019","$4,645,163","$4,595,032",Single Family Residential,2018,12970,7,12,Highlands Ranch,Highlands Ranch,"$9,127",Douglas RE-1,,,"Full, Finished, Walk-Out Access",$142,Cash
167,3355 4th Street,"Boulder, CO 80304","Nov 13, 2020","$4,900,000","$4,594,169",Single Family Residential,2003,5443,6,6,Newlands,Newlands,"$23,155",Boulder Valley RE 2,2,2,Full,,
168,1120 E Tufts Avenue,"Englewood, CO 80113","Jul 24, 2020","$4,650,000","$4,575,000",Single Family Residential,1980,7493,7,9,Old Cherry Hills,Old Cherry Hills,"$21,123",Cherry Creek 5,5,5,"Finished, Interior Entry",,Cash
169,3095 Lafayette Drive,"Boulder, CO 80305","Nov 13, 2019","$4,750,000","$4,550,000",Single Family Residential,1970,6811,5,6,Rolling Hills,Rolling Hills,"$24,346",Boulder Valley RE 2,4,4,"Crawl Space, Daylight, Walk-Out Access",,
170,7531 Highway 73,"Evergreen, CO 80439","Jun 19, 2020","$4,950,000","$4,550,000",Single Family Residential,1932,2584,3,2,Evergreen,Evergreen,"$7,156",Jefferson County R-1,2,2,"None, Unfinished",,Cash
171,3095 Lafayette Drive,"Boulder, CO 80305","Nov 18, 2019","$4,750,000","$4,550,000",Single Family Residential,1970,6811,5,6,Rolling Hills,Rolling Hills,"$24,346",Boulder Valley RE 2,4,4,"Crawl Space, Exterior Entry, Full, Finished, Walk-Out Access, Heated",,Cash
172,198 Timber Trail Road,"Breckenridge, CO 80424","Aug 03, 2018","$4,695,000","$4,550,000",Single Family Residential,2016,6113,6,7,Summit County,Summit County,"$32,474",Summit RE-1,3,3,"None, Walk-Out Access",$508,Cash
173,970 Thornburg Street,"Steamboat Springs, CO 80487","Oct 29, 2020","$4,925,000","$4,525,000",Single Family Residential,2018,6292,6,6,Pahwintah Subdivision,Pahwintah Subdivision,"$6,188",Steamboat Springs RE-2,3,3,"Finished, Walk-Out Access",,Conventional
174,1515 Sunset Boulevard,"Boulder, CO 80304","Jan 18, 2019","$4,500,000","$4,500,000",Single Family Residential,2018,5329,6,5,Sunset Hill,Sunset Hill,"$5,919",Boulder Valley RE 2,2,2,Walk-Out Access,,"Cash, Conventional"
175,3660 19th Street,"Boulder, CO 80304","Mar 07, 2019","$4,500,000","$4,500,000",Single Family Residential,1995,5968,6,7,21st/Linden Sub,21st/Linden Sub,"$10,879",Boulder Valley RE 2,3,3,None,,"Cash, Conventional"
176,1133 14th Street Unit 3750,"Denver, CO 80202","Nov 16, 2018","$4,745,000","$4,500,000",Condo,2010,4903,3,3,Downtown,Downtown,"$20,737",Denver 1,2,2,None,"$4,415",Conventional
177,4081 Preserve Parkway,"Greenwood Village, CO 80121","Nov 02, 2018","$4,995,000","$4,500,000",Single Family Residential,2007,12832,5,9,The Preserve,The Preserve,"$28,681",Littleton 6,5,5,"Full, Finished, Walk-Out Access",$500,Conventional
178,7 Vista Road,"Cherry Hills Village, CO 80113","May 29, 2020","$4,950,000","$4,500,000",Single Family Residential,1999,14106,6,10,Cherry Hills Village,Cherry Hills Village,"$28,766",Cherry Creek 5,5,5,"Daylight, Exterior Entry, Finished, Partial, Bath/Stubbed",,Cash
179,500-504 and 514 Cr 697 (Jericho Road),"Grand Lake, CO 80447","Sep 13, 2019","$4,975,000","$4,500,000",Single Family Residential,2008,8140,10,9,Grand Lake,Grand Lake,"$14,519",East Grand 2,5,5,"Exterior Entry, Full, Finished, Walk-Out Access",,Cash
180,3660 19th Street,"Boulder, CO 80304","Mar 07, 2019","$4,500,000","$4,500,000",Single Family Residential,1995,5968,6,7,21st/Linden Sub,21st/Linden Sub,"$10,879",Boulder Valley RE 2,3,3,None,,Cash
181,33825 Meadow Creek Drive,"Steamboat Springs, CO 80487","Oct 04, 2019","$4,495,000","$4,495,000",Single Family Residential,2019,6004,5,6,Alpine Mountain Ranch & Club,Alpine Mountain Ranch & Club,"$15,098",Steamboat Springs RE-2,3,3,None,"$4,900",Cash
182,4701 S Downing Street,"Englewood, CO 80113","Aug 13, 2020","$4,495,000","$4,477,915",Single Family Residential,2005,13246,5,8,Old Cherry Hills,Old Cherry Hills,"$24,881",Cherry Creek 5,4,4,"Finished, Partial",,Cash
183,1651 Washington Street,"Denver, CO 80203","Aug 15, 2018","$4,463,381","$4,463,381",Multifamily,1907,13523,,,North Capitol Hill,North Capitol Hill,"$27,177",Denver 1,,,None,,Conventional
184,775 Kalmia Avenue,"Boulder, CO 80304","Jun 17, 2020","$4,995,000","$4,450,000",Single Family Residential,1966,8500,4,7,Foothills,Foothills,"$24,787",Boulder Valley RE 2,4,4,None,,
185,775 Kalmia Avenue,"Boulder, CO 80304","Jun 17, 2020","$4,995,000","$4,450,000",Single Family Residential,1966,8500,4,7,Newlands,Newlands,"$25,588",Boulder Valley RE 2,4,4,,,Cash
186,980 6th Street,"Boulder, CO 80302","Apr 21, 2021","$4,400,000","$4,400,000",Single Family Residential,2008,5813,4,5,Chautauqua,Chautauqua,"$17,347",Boulder Valley RE 2,2,2,"Daylight, Full",,
187,1133 Timber Lane,"Boulder, CO 80304","Oct 30, 2020","$4,700,000","$4,400,000",Single Family Residential,2003,8601,4,7,Pine Brooks Hills,Pine Brooks Hills,"$26,628",Boulder Valley RE 2,3,3,,$95,
188,2575 Wildflower Court,"Steamboat Springs, CO 80487","Sep 04, 2020","$4,200,000","$4,400,000",Single Family Residential,2015,5160,4,6,Elkins Meadows @ Little Fish Creek,Elkins Meadows @ Little Fish Creek,"$14,570",Steamboat Springs RE-2,3,3,,$964,Cash
189,414 Gcr 697,"Grand Lake, CO 80447","Oct 06, 2020","$4,900,000","$4,400,000",Single Family Residential,1908,3788,7,4,Grand Lake,Grand Lake,"$10,889",East Grand 2,2,2,,,Cash
190,1133 Timber Lane,"Boulder, CO 80304","Oct 30, 2020","$4,700,000","$4,400,000",Single Family Residential,2003,8601,4,7,Pine Brook Hills,Pine Brook Hills,"$25,823",Boulder Valley RE 2,3,3,Interior Entry,$95,Cash
191,2983 Heavenly View,"Steamboat Springs, CO 80487","May 23, 2019","$4,750,000","$4,400,000",Single Family Residential,2007,7795,5,7,Sanctuary,Sanctuary,"$14,947",Steamboat Springs RE-2,,,"Exterior Entry, Full, Finished, Walk-Out Access",$200,Cash
192,980 S Dexter Street,"Denver, CO 80246","Apr 10, 2019","$4,600,000","$4,400,000",Multifamily,1974,14486,,,Glendale,Glendale,"$13,677",Denver 1,,,None,,Item1031Exchange
193,4580 S Franklin Street,"Cherry Hills Village, CO 80113","May 16, 2018","$4,900,000","$4,400,000",Single Family Residential,2001,13737,6,11,Cherry Hills Village,Cherry Hills Village,"$36,084",Cherry Creek 5,5,5,"Full, Finished, Walk-Out Access",,Conventional
194,9511 State Hwy 9,"Breckenridge, CO 80424","Jan 02, 2019","$4,575,000","$4,380,000",Single Family Residential,1991,7434,11,12,Breckenridge,Breckenridge,"$11,952",Summit RE-1,,,None,,Cash
195,4145 Omer Road,"Divide, CO 80814","Jul 17, 2018","$4,800,000","$4,376,250",Single Family Residential,2008,11708,4,5,Trout Creek,Trout Creek,"$10,512",Woodland Park RE-2,13,13,"Exterior Entry, Full, Finished, Walk-Out Access",$97,Conventional
196,240 Gaylord Street,"Denver, CO 80206","Apr 19, 2021","$4,500,000","$4,375,000",Single Family Residential,2006,9191,6,7,Country Club,Country Club,"$21,729",Denver 1,3,3,"Finished, Partial, Bath/Stubbed",,Other
197,850 S Franklin Street,"Denver, CO 80209","Mar 05, 2021","$4,500,000","$4,375,000",Single Family Residential,1989,7888,5,7,Washington Park,Washington Park,"$16,484",Denver 1,2,2,"Full, Finished",,Conventional
198,1471 Sky View Lane,"Larkspur, CO 80118","Apr 05, 2021","$4,517,000","$4,350,000",Single Family Residential,2019,9189,4,6,Bear Dance,Bear Dance,"$3,334",Douglas RE-1,11,11,"Crawl Space, Daylight, Exterior Entry, Full, Finished, Walk-Out Access",,Cash
199,860 Vine Street,"Denver, CO 80206","Mar 27, 2019","$4,500,000","$4,350,000",Single Family Residential,1921,8775,5,7,Morgan's Historic,Morgan's Historic,"$19,993",Denver 1,2,2,"Full, Finished",,Conventional
200,950 S Steele Street,"Denver, CO 80209","Mar 11, 2021","$4,500,000","$4,337,500",Single Family Residential,2007,9457,5,5,Belcaro,Belcaro,"$19,828",Denver 1,6,6,"Full, Finished, Interior Entry, Sump Pump",$150,Conventional
201,9650 S Cougar Road,"Littleton, CO 80127","Jan 28, 2021","$4,500,000","$4,315,000",Single Family Residential,2012,8489,7,8,Deer Creek Mesa,Deer Creek Mesa,"$18,943",Jefferson County R-1,3,3,"Exterior Entry, Full, Finished, Walk-Out Access, Sump Pump",,Conventional
202,4322 Sunshine Canyon Drive,"Boulder, CO 80302","Oct 09, 2020","$4,300,000","$4,300,000",Single Family Residential,2007,7855,4,6,Sunshine Canyon,Sunshine Canyon,"$26,537",Boulder Valley RE 2,4,4,Walk-Out Access,,
203,435 Boulder Ridge Road,"Steamboat Springs, CO 80487","Mar 22, 2021","$4,350,000","$4,300,000",Single Family Residential,2012,5222,4,7,Boulder Ridge,Boulder Ridge,"$8,370",Steamboat Springs RE-2,3,3,"Daylight, Exterior Entry, Finished, Walk-Out Access",$25,Cash
204,7 Eagle Pointe Lane,"Castle Rock, CO 80108","May 25, 2018","$4,995,000","$4,300,000",Single Family Residential,2001,17170,7,12,Castle Pines Village,Castle Pines Village,"$62,803",Douglas RE-1,4,4,"Full, Finished, Walk-Out Access",$275,Conventional
205,1 Cantitoe Lane,"Cherry Hills Village, CO 80113","Mar 18, 2020","$4,985,000","$4,297,000",Single Family Residential,1969,15682,6,11,Cherry Hills Village,Cherry Hills Village,"$40,715",Cherry Creek 5,4,4,"Finished, Partial",,Conventional
206,5318-5348 S Fox Street,"Littleton, CO 80120","Sep 11, 2019","$4,400,000","$4,290,000",Multifamily,1972,18087,,,Fleetwood,Fleetwood,"$12,747",Littleton 6,,,"Finished, Partial",,Conventional
207,740 N High Street,"Denver, CO 80218","Nov 05, 2020","$4,550,000","$4,286,000",Single Family Residential,1913,6803,4,6,Country Club,Country Club,"$9,174",Denver 1,3,3,"Daylight, Full, Finished",,Cash
